合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
rb2010,10:50:54.0,3086,55586,3086,3,3087,25,127588,1.71802e+09
rb2010,10:51:00.0,3086,55588,3086,3,3087,25,127588,1.71808e+09
